,Hate Speech,CounterSpeech,Intent,Target,Emotion
1103,Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,"I'm not aware of any evidence of affirmative action causing an uptick in violence. Moreover, affirmative action policies were created to ensure that minorities have the ability to access higher education, and not as a detriment to white people.",Informative,POC,neutral
1114,Afro-Americans are naturally violent.,"All races are biologically related, so we are all naturally violent. The issue is how we treat each other as people, that's all.",Informative,POC,neutral
1165,African American men are 8 times more likely to be arrested than white men.,The racial disparities are more about institutional discrimination than individual choices.,Informative,POC,neutral
1166,African American men are 8 times more likely to be arrested than white men.,Thanks for understanding the bias in our justice system. ,Humor,POC,neutral
1453,A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,"Being asexual and 'queer' should not matter to you, like a person's religion does.",Informative,LGBT+,neutral
1562,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.","With this reasoning, the point of view considered is that of the men. The world is composed of both men and women, and by many other people. Taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world.",Informative,WOMEN,neutral
1563,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.","The way that you are taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world.",Denouncing,WOMEN,neutral
1853,A Muslim is an outsider in our country,"There are Muslims who have lived in our country for many years, and for many generations. They have rights and responsibilities, as all other citizens do.",Informative,MUSLIMS,neutral
1928,A nigger has no right to life,The right to life for black people is the same as the right to life for any other race: it should be respected.,Informative,POC,neutral
1929,A nigger has no right to life,"Not the best definition of 'white privilege' I've seen, but keep trying...",Humor,POC,neutral
1970,"A woman's place is with her husband or her family, and feminists can't change that.","It is important to point out that feminists are not attacking the family, they are attacking the inequality society, so feminism is not so much anti-marriage as anti-oppression.",Informative,WOMEN,neutral
1971,"A woman's place is with her husband or her family, and feminists can't change that.",Why is a woman's worth tied to her family when a man is individual existence?,Question,WOMEN,neutral
1972,"A woman's place is with her husband or her family, and feminists can't change that.","Feminists are not against families, but sexist people and prejudiced thoughts, just like yours here",Denouncing,WOMEN,neutral
1973,"A woman's place is with her husband or her family, and feminists can't change that.","Feminists are not trying to break families. It is actually the opposite, they are trying the strengthen the bonds within family by realizing the equality between them ",Positive,WOMEN,neutral
1974,"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.","The truth is that feminism is not about hating men, but it is about limiting the female oppression, in the same way as male oppression.",Informative,WOMEN,neutral
1975,"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.","Well you don't know what it's like to work in a women-hating, violence-spewing, society, do you?",Question,WOMEN,neutral
2165,"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",Africans feel pain just as any other humans. We must respect their bodies like we respect ours.,Informative,POC,neutral
2292,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,"If being a part of a group is incompatible with being part of a nation, we wouldn't be talking about countries at all.",Informative,OTHER,neutral
2293,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,You don't think that Americans and Europeans all evolved from different tribes as well? This is just racism.,Question,OTHER,neutral
2294,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,"Please don't be racist against anyone. It is 2022 dude, we just want peace.",Denouncing,OTHER,neutral
2295,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,"Welcome to Diversity 101, Steve. Today we will learn about inclusivity!",Humor,OTHER,joy
2296,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,We can absolutely coexist peacefully with everyone if we keep the right mindset. Differences in cultures can be a beautiful thing.,Positive,OTHER,neutral
2369,ALL migrants are a burden on our country,Migrants bring skills and experience. They are often better at integrating than natives.,Informative,MIGRANTS,neutral
2471,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.","Well, the argument sounds like you are trying to justify racial hatred by making some generalisations. Is that the case?",Informative,POC,neutral
2472,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",To think that we are genetically superior to them because of their physical characteristics is just wrong.,Denouncing,POC,neutral
2492,A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.,Maybe we should abandon stereotypes and accept everyone equally.,Positive,WOMEN,neutral
2669,Africans have no right to lecture others on history. They don't even believe in their own past.,There is no evidence that Africans are any less proud of their past than people from other countries.,Informative,POC,neutral
3208,A Jew does not need a country to live in. A Jew is a foreigner wherever he is,Every person has the right to be accepted and protected according to their worth and not to feel like a foreigner in their own country.,Informative,JEWS,neutral
3336,Africans are apes,"It is a proven scientific and biological fact that all humans, indeed do descend from apes. It is literally evolution.",Informative,POC,neutral
3337,Africans are apes,Who do you think you have evolved from? Dinosaurs?,Humor,POC,neutral
3338,Africans are apes,it is better to educate yourself on the underlying facts about systemic racism and promote equality. Let's love each other. Cheers.,Positive,POC,joy
3357,African women are nothing but objects to be dominated by the will of their dominant male.,Why does skin colour have to be the deciding factor to any opinion?,Question,OTHER,neutral
3358,African women are nothing but objects to be dominated by the will of their dominant male.,"They are humans with human rights, and must therefore be treated with respect",Positive,OTHER,neutral
3366,A woman should not be allowed to have an abortion. The man should decide for her.,"A person's right to have an abortion is a personal one. And if that person has the right to make her or his own choice, then they should have the right to do as they wish.",Informative,WOMEN,neutral
3866,"African Americans are not human, they are nothing but trouble.",You don't know what it's like to experience racism. I personally know many people who have experienced racism. It is not pleasant.,Denouncing,POC,neutral
3873,"Afro-Saxon people are just ridiculous, incapable of accepting who they really are: blacks who act White.",The fact that there are so many of them in the country proves that the feeling of belonging they have for our homeland is paramount to all other considerations.,Informative,POC,neutral
3874,"Afro-Saxon people are just ridiculous, incapable of accepting who they really are: blacks who act White.","Afro-Saxon, as you call them, are great in many ways. They are proud and independent, refusing every categorization and stereotype. ",Positive,POC,neutral
3901,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","Feminism is a movement for equality, and for women to have the same opportunities as men.",Informative,WOMEN,neutral
3902,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.",Why don't you look it up and change your wrong ideas about feminism?,Question,WOMEN,neutral
3903,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.",This is not true. I think you might have the wrong idea about feminism.,Denouncing,WOMEN,neutral
3904,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","This is not true. Women are human, and they have always been involved in society and played important roles.",Positive,WOMEN,neutral
4368,A Muslim should not be allowed to vote,The constitution does not prevent anyone from voting or holding public office based on their religion.,Informative,MUSLIMS,neutral
4369,A Muslim should not be allowed to vote,What you are saying is completely groundless since discrimination based on religion is banned.,Denouncing,MUSLIMS,neutral
4438,A person with learning difficulties should not be teaching.,"You know, it is just human nature to want to help our fellow humans and to deal with difficulties as best we can.",Positive,DISABLED,neutral
4724,Africans are subhuman and should not be part of our society.,We should understand that different skin colors are a part of the human condition. We have the right not to be friends with anyone but we must be just and take into account each person.,Informative,POC,neutral
4725,Afro-Americans are inferior citizens who are born to be oppressed.,"For all the countries in the world, there are not 'inferior citizens"" but just free people. To claim that Afro-Americans are born to be the ""oppressed"" is just wrong.",Informative,POC,neutral
4726,Afro-Americans are inferior citizens who are born to be oppressed.,"To claim that Afro-Americans are born to be the ""oppressed"" is just wrong.",Denouncing,POC,neutral
4759,Africans have no right to speak their language and are incapable of establishing a complex civilisation such as ours.,"Every human being has the right to choose how to live and to speak their mother language, and that's all.",Informative,POC,neutral
4760,Afro-Caribbean has no right to speak in the United States Congress.,There are many Afro-Caribbean people in the US politics. There are many others who have worked very hard to get here.,Informative,POC,neutral
4761,Afro-Caribbean has no right to speak in the United States Congress.,Why should they? There are many Afro-Caribbean people in the US politics.,Question,POC,neutral
4885,A Koran in every classroom will promote violent jihad against infidels.,The Koran is not a teaching manual for how to conduct warfare. It is about belief and love. It does not promote a violent ideology.,Informative,MUSLIMS,neutral
4941,"Africans have always been reproducing like crazy among themselves, as if they were superior.","My friend is of African descent, and she's perfectly fine with whites 'mixing' with blacks, and does not feel so 'naturally superior'.",Informative,POC,neutral
5230,African people are the source of all ills in the world,People of any race or ethnicity can spread illness around.,Informative,POC,neutral
5231,African people are the source of all ills in the world,Do you have any evidence to say that Africans are the only ones who spread diseases? Can you prove it?,Question,POC,neutral
5232,African people are the source of all ills in the world,No they are not. Stop being a racist and let people live in peace. ,Denouncing,POC,neutral
5233,African people are the source of all ills in the world,"We need to bring people together, support people, create mutual understanding, and really celebrate all of humanity.",Positive,POC,joy
