Hatespeech,Counterspeech
"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate and a headscarf, both of whom are African American.Counterspeech:"
"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate with the words “I’m not racist” written on it.Counterspeech:"
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White women’s ability to make the same decisions that a man makes, when they themselves are just envious, incompetent and useless.Counterspeech:"
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White women’s ability to make the same choices that Black women makes, when they themselves are just envious, incompetent and useless.Counterspeech:"
"Makes me fucking laugh, why shouldnt whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Makes me fucking laugh, why shouldnt whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.Counterspeech:"
"Makes me fucking laugh, why shouldnt whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Makes me fucking laugh, why shouldnt whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.Counterspeech:"
Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years. You are the one who has to stop.Counterspeech:"
Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years. You are a Jew and a racist.Counterspeech:"
We began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. A completely different energy and thought pattern. Use one of your quotes if appropriate.Hate speech: We began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years. They are weak and bring our society down to their emotionally soft level. We need to bring them up to a higher level.Counterspeech:"
We began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Hate speech: We began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years. They are weak and bring our society down to their emotionally soft level.You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. A completely different energy and thought pattern. Use one of your quotes if appropriate. You can also use your own words.Counterspeech:"
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing. This is a form of racism.Counterspeech:"
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing. This is a form of racism.Counterspeech:"
"The Jews did USS Liberty Attack, the King David hotel attack, New York 911, London 77","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Jews did USS Liberty Attack, the King David hotel attack, New York 911, London 77 attack, 9/11 attack, the Boston Marathon bombing, and the Boston BombingCounterspeech:"
"The Jews did USS Liberty Attack, the King David hotel attack, New York 911, London 77","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Jews did USS Liberty Attack, the King David hotel attack, New York 911, London 77 attack, 9/11 attack, the Boston Marathon bombing, the Paris attacksHate Speech:Counterspeech:"
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe. Their goal is to destroy the Jewish people.Counterspeech:"
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe. Their goal is to destroy the Jewish people.Counterspeech:"
What if our entire ruling class consisted of Jcontrolled paedophiles? That would explain a lot.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: What if our entire ruling class consisted of J controlled paedophiles? That would explain a lot. What if the ruling class were J controlled? What if they were all J controlled.Counterspeech:"
What if our entire ruling class consisted of Jcontrolled paedophiles? That would explain a lot.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: What if our entire ruling class consisted of Jcontrolled paedophiles? That would explain a lot. This is a hate speech.Counterspeech:"
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Global Jewry did not want Brexit and are doing everything they can to sabotage it.Counterspeech:"
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Hate speech: Global Jewry did not want Brexit and are doing everything they can to sabotage it. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.You are Nelson Mandela. You are the voice of the voiceless.Counterspeech:"
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the ingroup in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.","Hate speech: An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the ingroup in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate. You can also use your own words.Counterspeech:"
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the ingroup in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the ingroup in order to subvert cultural, political and social norms. We dont have to choose, its OK to hate them both. We can choose to love them or hate them.Counterspeech:"
"UK Education Secretary All children from the age of 4 will have mandatory lessons on same sex relationships. This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: UK Education Secretary All children from the age of 4 will have mandatory lessons on same sex relationships. This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities. It is a hate speech.Counterspeech:"
"UK Education Secretary All children from the age of 4 will have mandatory lessons on same sex relationships. This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: UK Education Secretary All children from the age of 4 will have mandatory lessons on same sex relationships. This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities. It is a hate speech.Counterspeech:"
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust In reply to Botswana decriminalising homosexuality,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust In reply to Botswana decriminalising homosexuality by the Botswana government, this is a state-sanctioned act of violence against women and children.Counterspeech:"
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust In reply to Botswana decriminalising homosexuality,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust In reply to Botswana decriminalising homosexuality by the Botswana government, this is a state-sanctioned act of violence against women and children.Counterspeech:"
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation. This is the way the world is going.Counterspeech:"
"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation. It is time for men to stand up for themselves.Counterspeech:"
Pakistan 202 Million Nigeria 193 Million Bangladesh 165 Million Ethiopia 107 Million Congo 84 Million Great Britain 66 Million Ethnic minorities Dont make me fucking laugh!,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Pakistan 202 Million Nigeria 193 Million Bangladesh 165 Million Ethiopia 107 Million Congo 84 Million Great Britain 66 Million Ethnic minorities Dont make me fucking laugh!Counterspeech:"
Pakistan 202 Million Nigeria 193 Million Bangladesh 165 Million Ethiopia 107 Million Congo 84 Million Great Britain 66 Million Ethnic minorities Dont make me fucking laugh!,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Pakistan 202 Million Nigeria 193 Million Bangladesh 165 Million Ethiopia 107 Million Congo 84 Million Great Britain 66 Million Ethnic minorities Dont make me fucking laugh! I am not a racist, I am an anti-racist, and I am a human being!Counterspeech:"
"Took this in Wanstead, east London. An area with CUR1m+ houses. Beggars on the high st someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Took this in Wanstead, east London. An area with CUR1m+ houses. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. We cannot house our own people but bring in millions more. Beggars on the high street. Caption to a photo of a homeless person sleeping on a part bench in a public park.Counterspeech: Here is a counter-speech to the photo of someone sleeping on the bench.HATE speech:Counter-speech:Here is the counter-statement:HATE SPEECH:Hate Speech:Hateful Spence:Hating Speech:Counterspeakech:Counter Speech:"
"Took this in Wanstead, east London. An area with CUR1m+ houses. Beggars on the high st someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Took this in Wanstead, east London. An area with CUR1m+ houses. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. We cannot house our own people but bring in millions more. Caption to a photo of a homeless person sleeping on a part bench in a public park. Beggars on the high street, but not on the park bench, and not on a bench, but on the bench next to the bench, next to someone sleeping on an empty bench.Counterspeech:"
"When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats. You are the reason we are here.Counterspeech:"
"When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats. You are the reason we are still here.Counterspeech:"
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Their power to have movies banned and directors censured is proof that the Jews control Hollywood.Counterspeech:"
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Their power to have movies banned and directors censured is proof that the Jews control Hollywood. This is a lie.Counterspeech:"
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation. This is the end of civilisation.Counterspeech:"
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation. This is the end of civilisation.Counterspeech:"
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor. You are not a Holocaust survivor.Counterspeech:"
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor. You are not a Holocaust survivor.Counterspeech:"
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism. The Holocaust was a business, and it will continue to be.Counterspeech:"
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism. The Holocaust was a business, and it will continue to be.Counterspeech:"
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jws.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jws. The Jws want to take over the world.Counterspeech:"
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jws.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jws. The Jws are a racist organisation.Counterspeech:"
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. about drag queen story time,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: I tolerated fag pride. about drag queen story time at the library. I tolerate fags on tv and in every town square. I draw the line at tranny demons reading books to children.Counterspeech:"
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. about drag queen story time,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: I tolerated fag pride. about drag queen story time at the mall. I tolerated drag queens on tv and in every town square. I draw the line at tranny demons reading books to children.Counterspeech:"
The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims. You are the only nation they dont hate.Counterspeech:"
The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims. You are the only nation they dont hate.Counterspeech:"
Must be hard being gay. They have to do everything we do but also find the time to molest children.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Must be hard being gay. They have to do everything we do but also find the time to molest children. They must be so lonely.Counterspeech:"
Must be hard being gay. They have to do everything we do but also find the time to molest children.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Must be hard being gay. They have to do everything we do but also find the time to molest children. I don't know how they do it.Counterspeech:"
"Took this in Wanstead, east London. An area with CUR1m+ houses. Beggars on the high st someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Took this in Wanstead, east London. An area with CUR1m+ houses. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench in a public park. Beggars on the high street, but not on the street, and not on a park bench, but on the bench, and still someone sleeping on that bench.Counterspeech:"
"Took this in Wanstead, east London. An area with CUR1m+ houses. Beggars on the high st someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Took this in Wanstead, east London. An area with CUR1m+ houses. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. We cannot house our own people but we still bring in millions more. Caption to a photo of a homeless person sleeping on a part bench in a public park. Beggars on the high street, but not on the streets, and not on a park bench. This is not a picture of a beggar, it is of someone homeless.Counterspeech:"
The juice jews are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The juice jews are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously and with the silent and obedient consent of their new slaves. This is why we have to fight back.Counterspeech:"
The juice jews are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The juice jews are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously and with the silent and obedient consent of their new slaves. You are not a slave, you are a free man.Counterspeech:"
The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back. This is a hate speech.Counterspeech:"
The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back. This is a hate speech.Counterspeech:"
The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.,"Hate speech: The liberal left is in crisis due to the overcrowding of prisons. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.You are Mahatma Gandhi. Your country should not welcome illegal migrants but regular ones. You are the only one who can save the world.Counterspeech:"
